gene h2 se p
MFSD1 0.176766 0.042552 0
PAK4 0.176757 0.038238 0
UMODL1 0.176661 0.038386 4.187e-11
BTN3A3 0.176540 0.052938 2.569e-07
ANGPTL6 0.176508 0.040653 0
FHOD1 0.176503 0.047209 1.798e-10
CCDC125 0.176495 0.041872 0
C10orf32 0.176495 0.041250 0
ZNF681 0.176451 0.049375 1.462e-13
C19orf54 0.176439 0.036766 0
GAPDH 0.176437 0.034704 0
ABHD10 0.176257 0.039087 0
DUSP3 0.176191 0.040248 0
GALNT10 0.176166 0.040180 6.717e-14
TRPV1 0.176148 0.036927 1.166e-15
FBXO40 0.176044 0.039201 0
USP44 0.176032 0.040010 1.555e-10
AIF1L 0.175963 0.036295 5.551e-17
C2orf61 0.175814 0.035830 0
ACBD7 0.175806 0.036809 1.094e-14
MRPL36 0.175722 0.033699 0
MYO10 0.175709 0.036671 0
GPR65 0.175687 0.037692 0
MCCC1 0.175683 0.039032 0
GPC4 0.175683 0.039032 0
S1PR2 0.175565 0.044906 2.223e-08
CCDC71 0.175497 0.051698 0
RAB5A 0.175421 0.040667 0
CCDC85C 0.175352 0.041856 1.464e-07
ETFDH 0.175153 0.040716 0
PHLDA2 0.175128 0.034880 0
CAMLG 0.175120 0.036549 0
TSPAN7 0.175093 0.038124 0
HSF2 0.175093 0.038124 0
C5 0.175064 0.039096 0
C7orf26 0.174951 0.041932 2.083e-12
PLEK 0.174909 0.034990 0
PRDX2 0.174746 0.038998 0
LIPT1 0.174740 0.041197 0
STX17 0.174558 0.039852 0
RNF187 0.174551 0.043006 8.954e-14
SEMA4B 0.174530 0.039876 0
AMT 0.174481 0.050938 0
NACAD 0.174471 0.039849 0
TMEM101 0.174369 0.044773 1.796e-09
TBC1D8 0.174120 0.037748 0
KSR1 0.174042 0.038921 0
WDR45L 0.173992 0.041815 9.992e-16
CRLS1 0.173827 0.036562 4.441e-16
MSL3 0.173776 0.039150 4.274e-15
ALKBH1 0.173776 0.039150 4.274e-15
LCNL1 0.173696 0.037195 4.996e-16
CRB3 0.173599 0.037832 4.155e-12
ZNF496 0.173509 0.037185 0
SEMA6A 0.173398 0.036656 0
GNB3 0.173250 0.036263 0
STK39 0.173237 0.036529 0
RGS6 0.173097 0.037391 0
MADD 0.173017 0.055078 0
ABTB2 0.173011 0.035561 0
BTBD10 0.172937 0.034716 0
COL27A1 0.172900 0.040020 1.973e-10
MAVS 0.172866 0.036361 0
HSD17B8 0.172789 0.039141 0
NAGLU 0.172775 0.048817 4.578e-12
CD9 0.172713 0.037107 3.886e-15
KCNA3 0.172669 0.036572 0
TNNC2 0.172570 0.037270 0
FXYD5 0.172551 0.037724 1.087e-13
CCNL1 0.172511 0.038710 0
ST3GAL1 0.172455 0.038185 2.383e-12
GEMIN8 0.172455 0.038185 2.383e-12
PPM1M 0.172403 0.049673 0
PDZD7 0.172392 0.041717 5.872e-11
KCNK7 0.172387 0.043046 0
FAM122B 0.172387 0.043046 0
MRPS9 0.172283 0.036666 0
COG4 0.172203 0.048809 1.887e-15
C9orf156 0.172178 0.035814 0
SLCO4C1 0.172161 0.041056 0
ZNF773 0.172141 0.037127 0
EMD 0.172141 0.037127 0
MFSD5 0.172128 0.039750 4.996e-16
ZNF831 0.172113 0.034200 0
ANAPC4 0.172102 0.034104 0
ADAT1 0.172059 0.035162 0
PTGR1 0.172010 0.038922 2.387e-15
ASL 0.171991 0.062636 0
TPCN2 0.171985 0.038608 0
MTO1 0.171949 0.039902 0
PTPRS 0.171928 0.038083 5.456e-11
ARL6IP1 0.171590 0.035898 0
RUFY4 0.171576 0.041107 2.8e-10
SLC18A2 0.171552 0.036598 3.886e-16
C16orf86 0.171527 0.050161 0
CTGF 0.171350 0.035755 0
UGGT2 0.171303 0.036863 0
ASAP1 0.171220 0.036355 0
SCAMP2 0.171161 0.042665 0
EIF4B 0.171020 0.037380 1.665e-16
ATXN10 0.170966 0.034710 0
DDAH2 0.170876 0.040553 0
FAM22A 0.170867 0.040511 5.817e-13
DCBLD2 0.170800 0.039547 0
C19orf12 0.170721 0.038286 4.449e-12
ESPNL 0.170708 0.036910 1.11e-15
FAM192A 0.170639 0.036328 2.276e-15
ALG12 0.170623 0.034335 0
C15orf26 0.170598 0.036491 7.772e-16
CCDC82 0.170551 0.035508 0
MEST 0.170547 0.035631 0
TSFM 0.170524 0.036260 0
METTL4 0.170464 0.033703 0
TRPC6 0.170387 0.040431 5.986e-12
ROR2 0.170362 0.038450 1.11e-16
MAOA 0.170362 0.038450 1.11e-16
ARNT 0.170362 0.039859 0
SLC35C1 0.170201 0.037321 0
UPK1A 0.170196 0.034142 0
PFKL 0.170170 0.038321 2.338e-12
LCMT2 0.170145 0.049047 0
RYR1 0.170104 0.042138 1.971e-11
RXFP2 0.170015 0.034267 0
ATP8B3 0.169969 0.036132 3.791e-14
WDR91 0.169823 0.042743 9.196e-09
ZNF195 0.169751 0.035036 0
BSG 0.169707 0.034830 4.441e-16
RASA3 0.169697 0.041639 1.776e-15
FIGNL1 0.169520 0.036382 0
SNAP47 0.169263 0.040912 0
TRAF3IP3 0.169249 0.034737 0
KLHL9 0.169202 0.044762 1.291e-12
RAB2A 0.169040 0.036814 0
CD47 0.168775 0.038670 1.088e-14
SIGLEC10 0.168734 0.038314 2.743e-09
XBP1 0.168665 0.038067 0
RDH11 0.168633 0.038316 0
SCRN1 0.168549 0.033920 0
CASP5 0.168530 0.041330 0
SP140 0.168350 0.038505 2.054e-12
BTBD2 0.168305 0.037273 4.844e-11
ABCA2 0.168276 0.035667 0
SRP72 0.168263 0.035832 0
FAH 0.168144 0.036410 3.331e-16
GPX3 0.168115 0.036578 0
TMIE 0.168070 0.042555 0
ANKRD1 0.168064 0.034548 0
HIST1H2AE 0.168000 0.041663 0
PDZD11 0.167813 0.035979 0
NUDCD3 0.167813 0.035979 0
KLRC2 0.167718 0.039039 1.665e-15
TBCE 0.167636 0.038876 6.993e-12
C9orf91 0.167636 0.036752 9.992e-16
LNP1 0.167576 0.041211 0
VWA5A 0.167512 0.035237 0
SEC14L2 0.167512 0.039340 0
C2orf15 0.167419 0.040539 0
GALNT14 0.167418 0.038978 1.456e-12
MED24 0.167393 0.037972 0
PUS3 0.167390 0.036754 0
RBM44 0.167383 0.036388 0
WDR61 0.167321 0.037081 0
SHD 0.167288 0.038284 1.66e-10
DLEU1 0.167230 0.036514 0
SECISBP2 0.167149 0.036273 0
ZFPM1 0.167057 0.041754 1.107e-07
NMI 0.166997 0.036539 0
ZNF525 0.166956 0.037787 2.958e-09
LPAR2 0.166840 0.041119 0
INSC 0.166759 0.037457 0
PEAK1 0.166742 0.038120 0
ZCWPW1 0.166630 0.051014 3.642e-12
MICAL1 0.166616 0.038221 0
CCDC40 0.166587 0.037718 4.343e-11
PPFIA1 0.166542 0.035097 0
DENND1A 0.166470 0.038253 3.827e-13
PNO1 0.166394 0.037238 3.418e-13
HTRA3 0.166378 0.036801 1.235e-12
PRKG2 0.166376 0.038024 0
ARPC5 0.166358 0.040108 0
METTL7B 0.166345 0.040169 0
CROCC 0.166307 0.038886 0
RNASEH2C 0.166226 0.039527 0
JMJD7 0.165933 0.038394 0
C14orf102 0.165926 0.035622 0
TNXB 0.165914 0.040880 0
MCF2L2 0.165896 0.040532 4.061e-10
RBM28 0.165862 0.038763 1.11e-15
PHLPP2 0.165860 0.044522 0
POMGNT1 0.165805 0.047651 2.198e-14
CYP24A1 0.165780 0.037809 1.152e-12
UBE2A 0.165744 0.038259 7.242e-11
NEURL4 0.165744 0.038259 7.242e-11
NCALD 0.165648 0.036375 3.093e-13
OMA1 0.165627 0.035305 5.551e-17
MRPL42 0.165620 0.037263 0
DDX18 0.165534 0.039883 0
PRKD3 0.165480 0.037019 1.282e-14
IFFO1 0.165370 0.037592 3.331e-16
PCMTD2 0.165321 0.037326 0
ITGB7 0.165299 0.037219 9.437e-16
CRYM 0.165274 0.038217 0
NCLN 0.165232 0.034735 1.665e-16
DOPEY2 0.165228 0.038000 5.763e-13
MTHFD1 0.165172 0.041876 1.11e-16
ASPSCR1 0.165146 0.038131 0
FSTL1 0.165144 0.041136 0
DHRS3 0.165052 0.039889 3.744e-10
C9orf43 0.164915 0.034760 0
MAPK3 0.164848 0.042244 0
DYNLL2 0.164779 0.037511 7.089e-13
GNG7 0.164767 0.037725 7.175e-10
RABAC1 0.164699 0.037550 0
JKAMP 0.164635 0.038943 0
CSTF1 0.164633 0.038908 1.111e-09
ATXN3 0.164602 0.036251 3.558e-14
MGAT1 0.164593 0.038064 2.565e-11
SHC2 0.164550 0.036057 6.66e-13
CNN3 0.164390 0.038164 1.085e-11
BBS10 0.164387 0.034995 0
SCP2 0.164280 0.037679 0
ALKBH4 0.164223 0.038729 0
USP49 0.164208 0.033800 0
COQ6 0.163968 0.038394 0
IFI27L1 0.163898 0.034094 0
CD180 0.163835 0.038438 4.413e-12
ATXN1 0.163810 0.036124 1.037e-13
TPST2 0.163726 0.035698 1.967e-12
TANC2 0.163682 0.036867 0
TXNDC15 0.163680 0.037012 0
FAM35A 0.163643 0.039889 6.443e-13
RASA4 0.163579 0.039925 2.776e-16
NUCKS1 0.163558 0.034322 0
NUDT5 0.163509 0.034183 0
PLSCR1 0.163421 0.038613 3.17e-14
LSR 0.163397 0.034883 0
IL26 0.163340 0.035827 0
HEG1 0.163318 0.038890 4.771e-12
GJB5 0.163271 0.036259 3.775e-15
ZNF71 0.163171 0.035958 1.11e-16
LRRFIP2 0.163008 0.037771 0
PIP5KL1 0.163007 0.037000 0
ALDH5A1 0.162973 0.036169 1.11e-16
EDEM2 0.162899 0.046133 0
RGL3 0.162887 0.037403 0
CILP 0.162877 0.040179 1.11e-16
SLC35E3 0.162778 0.037258 1.502e-13
POPDC2 0.162695 0.035853 0
KIR3DL3 0.162695 0.038540 4.429e-09
ZNF23 0.162578 0.041761 0
GSPT2 0.162578 0.041761 0
HOMEZ 0.162576 0.037166 1.397e-11
C11orf49 0.162479 0.048255 0
LILRB2 0.162426 0.038865 6.358e-08
NDN 0.162391 0.033601 0
MMS22L 0.162346 0.037230 0
EPOR 0.162230 0.041237 1.363e-12
GRHL2 0.162194 0.035794 0
DLG3 0.162194 0.035794 0
TRIB2 0.162167 0.037699 1.61e-15
TPBG 0.162149 0.044937 1.001e-07
FBXL4 0.162103 0.038816 0
LDB1 0.162054 0.042011 1.427e-14
NIPSNAP1 0.161946 0.039813 0
TBC1D30 0.161924 0.034045 0
KLHDC7A 0.161924 0.035691 8.882e-15
PDE4DIP 0.161895 0.057412 1.985e-08
KIAA1524 0.161894 0.035408 0
CIITA 0.161821 0.042806 2.017e-06
ADM2 0.161770 0.040933 8.227e-10
NME6 0.161762 0.052629 0
TRIM31 0.161603 0.039761 0
TGM3 0.161571 0.034620 1.221e-15
GSTK1 0.161560 0.036847 0
CLCN5 0.161560 0.036847 0
PELI3 0.161548 0.044020 0
ZNF167 0.161489 0.039372 0
CP 0.161437 0.038231 8.571e-11
POU5F1B 0.161324 0.036900 4.049e-11
GPR97 0.161177 0.035516 2.844e-13
OSTF1 0.161155 0.035454 0
CCDC15 0.161119 0.034212 0
PSMD13 0.161093 0.035006 0
SH3BP5 0.161074 0.036978 1.695e-13
LIME1 0.161065 0.035210 0
CAPN8 0.160973 0.039263 1.665e-16
PRKRIP1 0.160889 0.036756 0
TADA2A 0.160882 0.032779 0
RSAD1 0.160851 0.035036 0
IL17RA 0.160829 0.035253 1.754e-14
P2RY14 0.160821 0.036220 0
GIGYF1 0.160708 0.039312 0
IL12RB2 0.160495 0.038767 2.804e-10
IMMT 0.160376 0.035359 0
TCTEX1D2 0.160359 0.036311 0
STMN3 0.160340 0.033694 0
SUGT1P3 0.160338 0.035464 0
CUTA 0.160338 0.044782 7.716e-09
XPNPEP1 0.160297 0.036698 0
ICA1 0.160122 0.039116 1.735e-07
FASN 0.160059 0.034256 0
FOXN2 0.160013 0.038660 9.803e-14
ING1 0.160009 0.036513 1.886e-12
NUAK2 0.159993 0.040532 8.837e-12
ADPGK 0.159931 0.045425 1.153e-09
ATP13A2 0.159913 0.036916 5.551e-17
RAB23 0.159901 0.039153 0
COMMD2 0.159851 0.033800 0
CTSZ 0.159732 0.036987 3.149e-11
EIF2B2 0.159722 0.033608 0
SERPINC1 0.159721 0.038296 0
SDS 0.159720 0.034936 0
C19orf53 0.159706 0.035292 4.441e-16
CAPS 0.159690 0.031626 0
PLD4 0.159564 0.035205 0
SLC13A4 0.159542 0.035239 0
NME7 0.159496 0.036388 0
C11orf80 0.159416 0.051212 1.344e-09
CD96 0.159411 0.037767 3.331e-15
TLR1 0.159378 0.035695 0
C2CD2 0.159290 0.038007 2.051e-09
MX1 0.159272 0.036287 1.419e-11
SH3PXD2A 0.159271 0.042102 5.707e-10
SULT2B1 0.159181 0.036546 7.772e-16
TMEM86B 0.159141 0.035670 2.482e-13
COMMD10 0.159093 0.036296 3.886e-16
MYO1D 0.159043 0.033698 0
STARD5 0.158882 0.038076 1.414e-09
ZNF107 0.158803 0.050250 1.11e-16
CEP72 0.158786 0.038338 3.84e-12
DPY19L3 0.158760 0.036068 6.106e-16
ZNF707 0.158712 0.038212 0
SOX12 0.158627 0.036880 1.546e-09
TRIM33 0.158584 0.039584 8.415e-14
SLC35D1 0.158523 0.039667 7.232e-12
RFPL2 0.158500 0.034609 0
FAM86B1 0.158499 0.043434 9.278e-08
PPM1N 0.158492 0.033958 0
FRAT2 0.158409 0.032993 0
MRPL39 0.158360 0.034734 0
CR1L 0.158278 0.036789 2.732e-12
TRIM24 0.158274 0.035812 5.751e-14
ICAM3 0.158097 0.038671 1.257e-11
NIPA1 0.157990 0.036755 4.102e-12
ZSCAN18 0.157979 0.037552 0
C6orf164 0.157903 0.035108 0
PLIN1 0.157843 0.035068 0
CLEC1A 0.157787 0.038565 1.701e-10
FAM18B2 0.157725 0.035088 3.22e-15
UBASH3B 0.157572 0.035438 3.055e-13
TIMM23 0.157554 0.040593 3.175e-11
TREML2 0.157553 0.036374 8.473e-12
CDC42BPB 0.157517 0.038478 0
CNNM4 0.157448 0.047717 0
IPMK 0.157428 0.035280 0
DIDO1 0.157407 0.033579 0
HRSP12 0.157338 0.037323 1.649e-12
LAT2 0.157176 0.037767 0
RNF168 0.157159 0.036028 2.22e-16
CENPC1 0.157146 0.040259 0
DDX51 0.157114 0.035637 0
BCL7A 0.157079 0.036848 0
C12orf60 0.157071 0.035287 0
CARS 0.156990 0.035062 0
PRSS16 0.156967 0.044224 0
TSEN15 0.156838 0.037005 0
ZNF181 0.156828 0.034030 0
CCNA1 0.156746 0.036482 0
BMP4 0.156736 0.035465 1.166e-15
SAAL1 0.156701 0.035347 0
TRIM69 0.156691 0.040214 0
PER3 0.156670 0.038098 1.09e-13
RPS23 0.156664 0.034840 0
FXC1 0.156658 0.032753 0
RIBC1 0.156548 0.051947 3.145e-10
ALDH2 0.156548 0.051947 3.145e-10
FUT8 0.156307 0.036052 0
KY 0.156283 0.033533 0
CYP4F12 0.156256 0.034863 0
ZBTB7C 0.156210 0.039240 1.657e-08
COX11 0.156197 0.033795 0
SUOX 0.156120 0.038435 0
PDF 0.156087 0.037459 0
ATF7IP2 0.156066 0.039567 3.342e-08
IQCG 0.156062 0.035269 0
RNFT1 0.155933 0.043781 0
PLEKHA1 0.155916 0.034954 0
NUP43 0.155905 0.031613 0
KCTD7 0.155872 0.042968 0
GJA4 0.155745 0.036479 1.965e-12
TMEM161A 0.155613 0.040941 9.582e-07
ITM2A 0.155613 0.040941 9.582e-07
PHIP 0.155365 0.034384 0
KIAA1383 0.155350 0.032361 0
AKR1C1 0.155218 0.036272 1.859e-11
TMEM184B 0.155164 0.036873 5.551e-17
F7 0.155157 0.035668 2.176e-14
HMOX1 0.155149 0.039007 1.764e-07
DND1 0.155066 0.038131 0
SSH1 0.154986 0.035530 0
CUEDC1 0.154879 0.038047 1.503e-10
FAM65C 0.154839 0.034091 0
PIGL 0.154782 0.036129 0
ANKRD9 0.154771 0.036086 0
VRK2 0.154715 0.035675 0
DDX55 0.154669 0.033539 0
AACS 0.154618 0.035724 9.067e-13
CCRN4L 0.154525 0.037912 5.764e-12
CABLES2 0.154516 0.035378 4.454e-12
SMPD4 0.154504 0.038440 0
ANKRD26 0.154502 0.040066 2.228e-11
CDH4 0.154469 0.036169 1.644e-10
TFCP2L1 0.154452 0.036994 4.607e-14
NAALADL1 0.154423 0.037759 0
NAPG 0.154397 0.034257 2.776e-16
FBXO18 0.154372 0.035157 6.694e-12
ENDOU 0.154372 0.038670 2.57e-11
APCDD1 0.154269 0.039570 1.358e-06
NACC2 0.154230 0.037358 6.426e-09
SRCRB4D 0.154141 0.035970 0
GLTPD1 0.154047 0.037767 0
RRP8 0.153997 0.036213 3.958e-14
HKR1 0.153899 0.045134 0
RAB7L1 0.153825 0.034751 0
ACSS1 0.153821 0.039454 2.413e-13
RWDD3 0.153818 0.036302 0
TNIP1 0.153724 0.035965 2.476e-13
PARP1 0.153723 0.035182 7.004e-13
HOXA4 0.153665 0.033796 0
MED4 0.153586 0.036088 0
RPSA 0.153492 0.033945 0
EPB41L2 0.153480 0.034968 2.776e-16
C4orf32 0.153475 0.035536 0
SYNGR2 0.153402 0.036525 6.441e-10
CRELD1 0.153364 0.037132 1.665e-16
TPPP 0.153319 0.032550 0
KIR3DX1 0.153272 0.035842 1.59e-10
WDR36 0.153216 0.043652 7.171e-10
AMDHD2 0.153182 0.041177 2.393e-10
TIFA 0.153020 0.037398 0
DHRS11 0.152970 0.033627 0
LAIR2 0.152940 0.038355 4.417e-07
ZNF329 0.152881 0.037020 0
LDHA 0.152871 0.035433 1.395e-11
SEPW1 0.152806 0.033212 0
GNAL 0.152557 0.037587 2.417e-08
FBXL13 0.152537 0.042799 9.527e-08
FAM65B 0.152359 0.038626 5.129e-09
BEND2 0.152359 0.038626 5.129e-09
IMPA2 0.152330 0.034863 2.776e-16
EME2 0.152183 0.036122 0
COX7B 0.152183 0.036122 0
KDM5D 0.152084 0.039059 8.276e-11
CLUAP1 0.152084 0.039059 8.276e-11
PDCD1 0.152025 0.040539 2.57e-14
SHE 0.151976 0.037551 7.216e-16
SMO 0.151924 0.035939 5.179e-14
POGZ 0.151888 0.037416 0
IGSF8 0.151841 0.036450 9.09e-11
ALOX5 0.151619 0.042988 2.22e-15
LHFP 0.151574 0.035411 8.933e-13
CYYR1 0.151497 0.035152 1.47e-11
RNF24 0.151463 0.032025 0
SCAMP4 0.151423 0.034916 1.924e-12
TCP10L 0.151405 0.033903 0
CPT2 0.151380 0.038153 1.317e-12
PNPLA4 0.151307 0.036278 0
CRY2 0.151307 0.036278 0
RCSD1 0.151223 0.034928 5.758e-13
HAAO 0.151195 0.034541 0
GRWD1 0.151123 0.034207 1.388e-15
COX6B1 0.151107 0.032989 0
ATRIP 0.151032 0.053182 4.441e-16
ATP5J2 0.150940 0.042746 0
USP10 0.150917 0.037817 2.222e-09
TIMP2 0.150884 0.033273 3.769e-13
RHCE 0.150880 0.038925 2.299e-11
AP4E1 0.150796 0.039562 0
UROD 0.150664 0.040760 0
MS4A4A 0.150589 0.038462 0
USP15 0.150489 0.038074 2.898e-13
TCEAL2 0.150489 0.038074 2.898e-13
ADH5 0.150489 0.035813 0
BEND7 0.150434 0.033785 0
EBLN2 0.150423 0.032756 1.11e-16
C9orf100 0.150402 0.039456 9.758e-13
PRAF2 0.150381 0.033692 4.774e-15
GTF3A 0.150381 0.033692 4.774e-15
BACE1 0.150367 0.036209 7.499e-11
APBB1IP 0.150351 0.036220 1.671e-13
NDUFS2 0.150340 0.036318 5.551e-17
MCF2L 0.150300 0.034861 1.182e-12
MICALCL 0.150202 0.037380 5.373e-09
SLC13A5 0.150150 0.035197 1.354e-14
EHF 0.150120 0.035802 7.121e-13
RAB3IL1 0.150112 0.039914 4.071e-09
PPARG 0.150101 0.035397 0
ZNF642 0.150100 0.034139 0
MLC1 0.150049 0.034295 7.216e-16
HIST1H4H 0.149923 0.040731 0
HMBS 0.149792 0.035734 3.331e-15
ADAMTSL5 0.149769 0.039071 4.523e-06
FBXL18 0.149637 0.032978 0
HINFP 0.149585 0.035087 0
PGBD5 0.149560 0.036064 1.567e-11
ATF4 0.149552 0.036073 0
SRD5A1 0.149523 0.034062 4.258e-14
RPL22L1 0.149512 0.034231 0
C1orf201 0.149497 0.033646 0
GCH1 0.149485 0.035766 1.854e-14
ZNF343 0.149370 0.035221 3.12e-12
WFS1 0.149284 0.034571 6.567e-14
AK3 0.149202 0.040830 1.129e-05
HIF1AN 0.149146 0.035086 0
PARP8 0.148987 0.039143 0
MYO1E 0.148799 0.036980 2.711e-09
C1orf50 0.148732 0.036267 0
BAHCC1 0.148709 0.038045 6.506e-10
ZNF579 0.148706 0.035698 2.288e-10
FLNB 0.148694 0.042837 2.214e-09
KRT80 0.148678 0.041275 2.577e-06
PROC 0.148674 0.035408 0
PHF11 0.148558 0.036651 0
SYT1 0.148425 0.036539 1.132e-14
SLC46A3 0.148350 0.035517 1.016e-11
SPATA24 0.148343 0.036637 0
HSD17B3 0.148341 0.038701 4.042e-11
PARVB 0.148265 0.040920 2.782e-05
TICAM1 0.148163 0.034745 1.49e-11
COPB1 0.148143 0.036615 0
GPR20 0.147948 0.035107 5.839e-11
SLC16A11 0.147921 0.038228 4.076e-06
SPATC1 0.147855 0.037130 0
AJAP1 0.147848 0.035012 1.235e-11
MGAT4B 0.147790 0.037842 4.39e-08
RRP15 0.147686 0.037071 5.326e-11
HPS4 0.147676 0.036954 3.249e-09
ATF6 0.147656 0.035272 9.438e-12
SLC15A3 0.147590 0.036922 0
FPR3 0.147583 0.036776 3.186e-09
ECT2L 0.147577 0.032824 0
CDKL5 0.147577 0.032824 0
GXYLT1 0.147499 0.036292 0
VOPP1 0.147495 0.039410 1.027e-09
POMT2 0.147420 0.037415 1.073e-11
LRRC20 0.147406 0.038221 1.851e-07
MCM9 0.147381 0.040405 9.215e-15
ZDHHC9 0.147326 0.037637 3.209e-12
SLC35D3 0.147326 0.037637 3.209e-12
HIBCH 0.147305 0.036763 0
ZNF668 0.147282 0.039167 0
NIPA2 0.147257 0.033552 0
SORCS2 0.147244 0.037283 4.655e-09
EML6 0.147233 0.034969 0
C6orf108 0.147215 0.034483 5.551e-17
ZKSCAN5 0.147208 0.037532 0
HSPG2 0.147171 0.034578 3.175e-14
SIRPD 0.147161 0.033706 9.936e-15
ZDHHC15 0.147128 0.032914 0
CD244 0.147128 0.032914 0
YTHDC2 0.147105 0.032647 0
ZNF211 0.147017 0.032356 0
SLC24A3 0.146910 0.032593 0
ST6GALNAC3 0.146891 0.032615 0
MARK3 0.146790 0.034024 0
CXCR1 0.146781 0.034835 0
FAM158A 0.146769 0.035904 3.802e-11
COX15 0.146675 0.038757 0
C19orf63 0.146605 0.031845 0
NRN1L 0.146600 0.046854 3.347e-11
PCCB 0.146511 0.037670 0
IDO1 0.146470 0.035242 0
FAM59B 0.146454 0.040630 1.915e-08
CDK5RAP3 0.146447 0.044129 3.672e-11
TF 0.146431 0.034112 1.599e-14
CXorf56 0.146431 0.034112 1.599e-14
CLCN4 0.146431 0.034112 1.599e-14
IRAK3 0.146420 0.033134 0
ATP2B2 0.146383 0.033893 0
DUSP23 0.146341 0.035190 5.732e-11
MDM1 0.146316 0.035101 9.365e-14
FAM127B 0.146255 0.030842 0
DOCK7 0.146255 0.030842 0
FAM22G 0.146212 0.037076 5.534e-14
TMSB15B 0.146159 0.036039 2.672e-13
PSMG3 0.146159 0.036039 2.672e-13
HPS3 0.146157 0.035707 5.388e-10
GCHFR 0.146134 0.038380 0
ITGA3 0.146108 0.035419 1.372e-12
SNX1 0.146083 0.036025 0
RHBDD2 0.146027 0.038711 0
LTBP2 0.145994 0.036171 0
CTDP1 0.145900 0.035796 1.665e-16
S100A9 0.145888 0.040591 5.84e-14
DMKN 0.145883 0.036087 4.231e-10
TMC2 0.145824 0.034368 5.884e-13
TIGD5 0.145806 0.036474 0
LPCAT2 0.145791 0.032577 0
SAC3D1 0.145789 0.037572 0
TOP3B 0.145770 0.034199 0
PARVA 0.145741 0.036469 9.582e-09
LST1 0.145460 0.038486 2.148e-14
ZNF117 0.145394 0.044591 0
NKRF 0.145394 0.044591 0
C1QC 0.145346 0.033754 5.551e-17
IPO8 0.145279 0.034560 0
DIRC3 0.145243 0.038555 1.671e-07
SDSL 0.145237 0.032901 0
ASB1 0.145215 0.034406 5.551e-17
ICAM1 0.145152 0.038253 3.951e-12
NDRG3 0.145111 0.041054 4.896e-10
DHRS12 0.145039 0.039994 3.739e-09
TTC28 0.145015 0.033834 0
NVL 0.144940 0.035910 0
C11orf73 0.144938 0.036868 4.996e-16
PROK2 0.144932 0.037944 6.813e-07
MAN1A2 0.144873 0.034879 1.776e-15
KIRREL3 0.144866 0.035708 7.068e-10
TMEM150C 0.144857 0.038310 2.347e-09
NTN1 0.144727 0.034849 1.015e-09
UTP11L 0.144697 0.034527 1.11e-16
ADAMTS6 0.144676 0.032370 0
KIAA0528 0.144673 0.035500 1.009e-13
LMNA 0.144597 0.036451 2.776e-16
CCDC115 0.144578 0.039263 0
SIK2 0.144508 0.035566 0
SETMAR 0.144408 0.036268 2.314e-09
LRP2BP 0.144208 0.034050 5.551e-17
NEDD1 0.144179 0.030931 0
AGTRAP 0.144120 0.038942 2.033e-08
LRRC29 0.144039 0.040749 0
ZNF35 0.144004 0.040618 1.344e-11
INO80C 0.144002 0.038434 3.764e-14
ZBTB40 0.144000 0.034965 1.812e-12
USP43 0.143957 0.035561 1.262e-09
DEXI 0.143952 0.034323 0
CD84 0.143892 0.031851 0
COCH 0.143865 0.035192 4.108e-15
LRP10 0.143799 0.037821 1.438e-06
C8orf55 0.143783 0.036890 6.65e-10
RNF4 0.143620 0.038205 3.254e-11
F8A1 0.143620 0.038205 3.254e-11
C22orf26 0.143604 0.037489 1.548e-08
MAPKAPK3 0.143595 0.046787 0
SHISA2 0.143567 0.035719 2.478e-10
PEX11A 0.143559 0.034893 1.11e-16
ZNF138 0.143540 0.044593 0
NPC2 0.143346 0.034057 0
TIGD3 0.143341 0.039891 1.201e-11
KRT2 0.143337 0.033696 9.992e-16
XK 0.143188 0.033369 0
KCNK6 0.143188 0.033369 0
HEPH 0.143188 0.033369 0
GPANK1 0.143181 0.040638 4.529e-13
PRR22 0.142846 0.034066 1.191e-11
TTPAL 0.142819 0.037278 9.181e-09
IL18R1 0.142819 0.034996 0
ANXA11 0.142817 0.034430 0
MOSPD3 0.142802 0.035936 0
ABHD12 0.142784 0.036894 0
PKDCC 0.142758 0.036846 1.411e-10
MMP1 0.142740 0.035994 5.086e-13
FBN1 0.142726 0.034189 0
STX6 0.142719 0.036961 2.284e-09
RNASEL 0.142696 0.036600 1.52e-12
GLYR1 0.142624 0.033473 2.165e-15
RRP1B 0.142618 0.032233 0
STAMBPL1 0.142577 0.037192 3.63e-10
CYB5B 0.142574 0.040287 1.301e-12
TRMT61B 0.142561 0.032351 0
CCDC149 0.142549 0.035026 2.782e-10
SCAP 0.142497 0.042375 0
TFF3 0.142496 0.037993 1.868e-06
NPAS2 0.142451 0.035473 0
CRIM1 0.142424 0.033518 0
PDIA6 0.142417 0.031449 0
FLT1 0.142404 0.034480 2.723e-11
FAM173A 0.142314 0.033303 0
ALDH9A1 0.142218 0.034638 2.753e-14
ZNF24 0.142173 0.035070 0
RTN4IP1 0.142126 0.031257 0
MYO5C 0.142113 0.039926 1.781e-08
DNAJA3 0.142087 0.039918 3.977e-08
PHLPP1 0.142030 0.033708 0
NOP16 0.142010 0.032284 0
CD36 0.141919 0.033299 0
DHFRL1 0.141904 0.049060 3.226e-11
TMEM158 0.141810 0.036450 0
IKZF1 0.141803 0.033995 3.414e-14
CGREF1 0.141748 0.038070 0
