gene local.h2 local.se global.h2 global.se
PPL 0.217767 0.035130 0.000001 0.300945
RAD54B 0.239975 0.040855 0.221841 0.317063
LRRC14 0.239975 0.040855 0.221841 0.317063
LRIG2 0.245348 0.040906 0.639086 0.311417
RBM43 0.243264 0.041751 0.449704 0.272916
DDX3X 0.243264 0.041751 0.449704 0.272916
CTNS 0.194609 0.036660 0.000001 0.343037
HES6 0.194609 0.036660 0.000001 0.343037
ZNF470 0.162184 0.032028 0.000001 0.343916
ZNF595 0.239205 0.051228 0.143727 0.275561
BLK 0.213592 0.041173 0.000001 0.293969
CARS2 0.242556 0.038330 0.212406 0.273236
ZBTB25 0.242556 0.038330 0.212406 0.273236
SH3BP5L 0.242556 0.038330 0.212406 0.273236
C10orf91 0.240241 0.045449 0.109210 0.285495
GAPT 0.203528 0.040007 0.000001 0.338914
SNAP29 0.230564 0.041191 0.000001 0.281685
RPAP1 0.230564 0.041191 0.000001 0.281685
CRIP3 0.241473 0.040032 0.590689 0.297647
CTRC 0.240977 0.041734 0.206947 0.299183
SCN2B 0.240222 0.043875 0.287332 0.283587
C5orf55 0.239155 0.041594 0.118470 0.278368
TCTEX1D1 0.156515 0.029299 0.000001 0.333866
LGALS9B 0.161192 0.032784 0.000001 0.322870
PGRMC1 0.161192 0.032784 0.000001 0.322870
HTR2B 0.239195 0.038487 0.098326 0.267589
TYSND1 0.238742 0.039617 0.146926 0.300707
CD81 0.238184 0.043496 0.074459 0.302279
SPATA13 0.238184 0.043496 0.074459 0.302279
EXD3 0.239020 0.044747 0.202500 0.311806
FAM160A1 0.171903 0.050634 0.000001 0.380847
CA2 0.239314 0.055228 0.127479 0.286380
EMR3 0.240543 0.044741 0.197961 0.312244
NSL1 0.237291 0.039392 0.398225 0.311286
MLKL 0.195459 0.044256 0.000001 0.369490
ASF1A 0.238484 0.051179 0.026377 0.307743
SLC25A24 0.186832 0.035546 0.000001 0.305732
ESR2 0.186832 0.035546 0.000001 0.305732
BNIPL 0.237474 0.047852 0.265407 0.313645
ATP8B4 0.237474 0.047852 0.265407 0.313645
RPS6KL1 0.238593 0.044882 0.391288 0.293841
FCHO1 0.238593 0.044882 0.391288 0.293841
CXCR3 0.238593 0.044882 0.391288 0.293841
TMEM229B 0.238593 0.044882 0.391288 0.293841
LAMP2 0.238593 0.044882 0.391288 0.293841
NECAP1 0.237476 0.039617 0.052444 0.303331
CTU2 0.237475 0.040205 0.103035 0.289791
PLEKHO2 0.236513 0.047231 0.426406 0.308371
DSCC1 0.236513 0.047231 0.426406 0.308371
LRRC33 0.170843 0.035800 0.000001 0.335844
EIF2A 0.203285 0.037237 0.000001 0.321603
CLCN6 0.234828 0.039295 0.293311 0.285969
TMEM194B 0.237816 0.042313 0.219035 0.271288
ADORA2B 0.236587 0.040979 0.405863 0.311871
REEP5 0.235016 0.042892 0.282953 0.289368
UBE2L3 0.236843 0.039767 0.040323 0.258704
ZDHHC14 0.152943 0.043746 0.000001 0.445760
C17orf75 0.152943 0.043746 0.000001 0.445760
ACAT1 0.237090 0.041817 0.120598 0.264308
TOR1B 0.236694 0.038195 0.293879 0.295467
TM2D1 0.236615 0.043363 0.067620 0.317613
ZNF763 0.235638 0.040198 0.175540 0.271428
PHACTR4 0.236072 0.043096 0.015725 0.274847
PIM3 0.136965 0.027887 0.000001 0.326344
PNKD 0.165784 0.033866 0.000001 0.286673
MAMLD1 0.165784 0.033866 0.000001 0.286673
CNKSR1 0.234434 0.050132 0.313253 0.301182
TDRD6 0.235676 0.044982 0.111367 0.282296
MPI 0.235676 0.044982 0.111367 0.282296
COG6 0.236881 0.037984 0.199761 0.310880
KCNE1 0.184681 0.034772 0.000001 0.337382
EYA3 0.236223 0.056798 0.203641 0.291974
ZNF79 0.236983 0.041799 0.405524 0.295991
SPG20 0.159306 0.037193 0.000001 0.463228
LRRN1 0.235322 0.040597 0.249050 0.334687
MTERFD3 0.226186 0.049074 0.000001 0.293439
TFPT 0.229733 0.038398 0.477382 0.334337
PCNT 0.161985 0.035334 0.000001 0.340348
ST3GAL5 0.237608 0.045744 0.578821 0.309419
INSIG1 0.201793 0.038906 0.000001 0.374555
TRABD 0.184133 0.044582 0.000001 0.367752
TMED9 0.167845 0.044445 0.000001 0.419777
C19orf44 0.211813 0.038353 0.000001 0.303036
XYLT1 0.211813 0.038353 0.000001 0.303036
DAD1 0.211813 0.038353 0.000001 0.303036
RNGTT 0.201432 0.038493 0.000001 0.303726
IGFBP3 0.233815 0.044686 0.446266 0.307784
SDK1 0.233642 0.039754 0.031503 0.319428
APOBEC3A 0.233408 0.050058 0.138933 0.311396
DGAT1 0.233553 0.048424 0.138188 0.303114
MFHAS1 0.233668 0.053878 0.030254 0.277319
MRPL53 0.232271 0.042056 0.294335 0.312815
EGLN2 0.233136 0.042571 0.120507 0.298088
KLRC3 0.233171 0.041356 0.024748 0.306594
CDC42BPA 0.233171 0.041356 0.024748 0.306594
ITGAD 0.233262 0.053491 0.062653 0.299171
C2orf40 0.233539 0.045192 0.056310 0.312417
PSMD2 0.131109 0.028204 0.000001 0.314252
C4BPB 0.187889 0.036034 0.000001 0.316335
POC5 0.195022 0.036694 0.000001 0.294591
TGS1 0.232957 0.039907 0.029650 0.284260
ZNF786 0.233106 0.038850 0.061918 0.308527
SLC37A2 0.231805 0.041500 0.387433 0.310527
FLYWCH2 0.232983 0.039872 0.030572 0.319429
CENPV 0.236148 0.043328 0.521945 0.293385
IRX3 0.185543 0.033571 0.000001 0.344201
CCDC114 0.231734 0.037741 0.346446 0.318372
BECN1 0.232426 0.049418 0.245989 0.307601
MDM2 0.233954 0.040597 0.148544 0.273871
ZNF554 0.235221 0.036758 0.377270 0.294481
TRIM9 0.153239 0.035289 0.000001 0.333985
UBE2F 0.093816 0.019355 0.000001 0.329534
C9orf128 0.093816 0.019355 0.000001 0.329534
BCKDHA 0.093816 0.019355 0.000001 0.329534
MRPL18 0.180930 0.039603 0.000001 0.367687
TTLL2 0.232668 0.040968 0.362042 0.300230
NAA10 0.232668 0.040968 0.362042 0.300230
ZNF696 0.231939 0.042920 0.010178 0.265335
ZC3H3 0.232038 0.040940 0.052709 0.294466
RPS5 0.210119 0.045212 0.000001 0.271891
LONP1 0.190894 0.038324 0.000001 0.367615
MANEA 0.175587 0.038649 0.000001 0.427680
CCDC152 0.175587 0.038649 0.000001 0.427680
SIGIRR 0.175587 0.038649 0.000001 0.427680
C15orf52 0.230984 0.046687 0.067555 0.291056
L1TD1 0.159576 0.043326 0.000001 0.411161
PLCB1 0.232017 0.039555 0.140717 0.288862
CHAF1A 0.198442 0.034157 0.000001 0.290266
ALMS1 0.230791 0.049705 0.014331 0.276917
THAP8 0.183775 0.041176 0.000001 0.364874
ARRB1 0.199066 0.040772 0.000001 0.332978
RGAG4 0.199066 0.040772 0.000001 0.332978
DLL1 0.230499 0.043115 0.307647 0.301623
SDHC 0.106979 0.022468 0.000001 0.317542
C6orf106 0.171584 0.032752 0.000001 0.321103
FAM18B1 0.205887 0.046946 0.000001 0.308306
NAP1L4 0.205887 0.046946 0.000001 0.308306
UPF3A 0.230331 0.051384 0.034745 0.295677
FIS1 0.229585 0.041714 0.140344 0.313892
ISG20 0.228529 0.040470 0.205826 0.309466
EPHB1 0.229824 0.043011 0.570348 0.332059
PCGF2 0.229824 0.043011 0.570348 0.332059
GNB5 0.230418 0.043495 0.015019 0.288273
ADAMTS17 0.230386 0.040417 0.075144 0.300653
GINS2 0.230173 0.038378 0.079873 0.316088
RFC4 0.230173 0.038378 0.079873 0.316088
FAS 0.127111 0.026274 0.000001 0.320908
PMS1 0.188107 0.045287 0.000001 0.342530
ARHGAP24 0.230057 0.043171 0.097557 0.290965
LZTS1 0.126725 0.036812 0.000001 0.366800
UTP14A 0.126725 0.036812 0.000001 0.366800
DEF6 0.229804 0.050435 0.006403 0.248431
SH3GLB2 0.229804 0.050435 0.006403 0.248431
S100A1 0.170919 0.042535 0.000001 0.402768
CPNE7 0.217623 0.043666 0.000001 0.311035
C1orf123 0.156158 0.029493 0.000001 0.324248
GNGT2 0.142923 0.031300 0.000001 0.306532
ZNF548 0.229351 0.041540 0.158802 0.329927
NT5C2 0.215474 0.042780 0.000001 0.288936
PHYHD1 0.215474 0.042780 0.000001 0.288936
PRKD2 0.228654 0.038551 0.376181 0.317946
CYSLTR1 0.228654 0.038551 0.376181 0.317946
SKAP1 0.228654 0.038551 0.376181 0.317946
MIF 0.228508 0.042854 0.034578 0.300975
CCDC57 0.231560 0.038375 0.320746 0.289929
NOTCH4 0.229268 0.044013 0.168280 0.257674
SLC8A1 0.228230 0.042455 0.073693 0.302764
CEP78 0.228847 0.041040 0.271365 0.303845
LAMA5 0.228847 0.041040 0.271365 0.303845
PDE6H 0.192466 0.036257 0.000001 0.312548
DLK2 0.227719 0.038944 0.144078 0.329871
DES 0.189658 0.036601 0.000001 0.322265
ZNF804A 0.179304 0.042910 0.000001 0.302749
CHN2 0.227272 0.039600 0.004438 0.288721
ZNF175 0.228968 0.038840 0.319739 0.334555
MGAT3 0.228968 0.038840 0.319739 0.334555
TCTN3 0.227363 0.043173 0.672908 0.321614
UGDH 0.156645 0.040507 0.000001 0.453383
TADA3 0.075455 0.020470 0.000001 0.355260
EIF5A 0.226375 0.039816 0.225122 0.318207
SEMA4D 0.226454 0.041423 0.024846 0.276740
TAS2R20 0.151423 0.027493 0.000001 0.341376
TTC3 0.226065 0.037738 0.209917 0.285220
TMEM99 0.220809 0.042621 0.000001 0.290547
UQCC 0.225973 0.048685 0.026146 0.277897
PLS3 0.225973 0.048685 0.026146 0.277897
DOK4 0.225366 0.041548 0.074463 0.266601
SLC15A2 0.225435 0.044813 0.436952 0.302522
TNK1 0.221456 0.038658 0.000001 0.266170
LSM4 0.221456 0.038658 0.000001 0.266170
FHAD1 0.221456 0.038658 0.000001 0.266170
RCN3 0.221456 0.038658 0.000001 0.266170
C14orf49 0.225768 0.039046 0.027424 0.288347
SIRPG 0.191518 0.041041 0.000001 0.372724
TAC4 0.191518 0.041041 0.000001 0.372724
TNFRSF18 0.224955 0.044549 0.527527 0.318919
C12orf52 0.227926 0.040075 0.203475 0.299949
C5orf4 0.227926 0.040075 0.203475 0.299949
RAB20 0.222387 0.041355 0.431118 0.330113
EPHA4 0.189526 0.038188 0.000001 0.354076
MAN1B1 0.186674 0.039418 0.000001 0.359793
PDE2A 0.186674 0.039418 0.000001 0.359793
KISS1R 0.186674 0.039418 0.000001 0.359793
RIMKLA 0.225956 0.043057 0.283937 0.311731
TAB3 0.225956 0.043057 0.283937 0.311731
CASKIN2 0.162131 0.046088 0.000001 0.390352
TSHZ3 0.224606 0.040531 0.346401 0.332033
SPINK2 0.225016 0.045511 0.029664 0.307845
LNPEP 0.225440 0.043162 0.322726 0.313612
DMRTC2 0.231589 0.046636 0.358305 0.278155
SUPT3H 0.222596 0.037741 0.000001 0.322734
LILRA5 0.224712 0.040848 0.004383 0.289636
TBRG4 0.224614 0.039701 0.037335 0.290285
SLC39A3 0.224311 0.036924 0.229363 0.315412
C12orf5 0.221432 0.043822 0.497013 0.339417
TMEM44 0.228227 0.041755 0.442622 0.317176
SUMF2 0.224238 0.041369 0.022274 0.246635
EVPL 0.142310 0.028225 0.000001 0.306491
HEATR3 0.142310 0.028225 0.000001 0.306491
TIPRL 0.223924 0.039819 0.025395 0.313660
PPP4R1 0.223924 0.039819 0.025395 0.313660
GRAMD4 0.223924 0.039819 0.025395 0.313660
TMEM140 0.223636 0.038567 0.070707 0.274928
CHKA 0.223689 0.047658 0.121738 0.274871
TOR3A 0.223689 0.047658 0.121738 0.274871
MGLL 0.214953 0.044263 0.000001 0.275613
XG 0.214953 0.044263 0.000001 0.275613
LYNX1 0.222697 0.040914 0.500589 0.325360
CAB39L 0.182047 0.036424 0.000001 0.299773
MRPS10 0.223600 0.037569 0.047873 0.314076
TEP1 0.227556 0.039524 0.634651 0.323402
ACOX3 0.186525 0.034218 0.000001 0.328660
RAB6B 0.224287 0.042958 0.323611 0.316460
XKR9 0.223048 0.036449 0.043416 0.308411
LILRB5 0.118291 0.031220 0.000001 0.328554
FARP1 0.118291 0.031220 0.000001 0.328554
SAMD9L 0.223173 0.040055 0.376599 0.303492
LARS2 0.223172 0.045253 0.102630 0.288849
HOXB4 0.222609 0.041850 0.084501 0.307220
MS4A7 0.222609 0.041850 0.084501 0.307220
MARCH2 0.222591 0.038837 0.149416 0.316422
PTK7 0.222868 0.040238 0.286627 0.321883
PPP2R4 0.199532 0.035348 0.000001 0.293362
GRAMD1B 0.221840 0.044898 0.155630 0.335040
RAB41 0.221840 0.044898 0.155630 0.335040
C9orf66 0.222725 0.043238 0.171307 0.288374
GNB1L 0.203056 0.036776 0.000001 0.287957
FGD1 0.203056 0.036776 0.000001 0.287957
CTBS 0.185051 0.036709 0.000001 0.320089
FAM84B 0.188353 0.038621 0.000001 0.371217
PCK2 0.222488 0.042050 0.076876 0.280214
LTBR 0.167917 0.036275 0.000001 0.325356
CCBL2 0.146229 0.031898 0.000001 0.324806
EPHA1 0.174426 0.048396 0.000001 0.366011
S100Z 0.174426 0.048396 0.000001 0.366011
TDRKH 0.222022 0.045447 0.285571 0.293727
CEACAM19 0.222022 0.045447 0.285571 0.293727
MECR 0.221588 0.043946 0.074980 0.331082
MPND 0.163019 0.033075 0.000001 0.344863
NFATC3 0.163019 0.033075 0.000001 0.344863
DEPDC7 0.186545 0.039035 0.000001 0.330923
CHMP6 0.170128 0.044886 0.000001 0.383302
CD300E 0.150189 0.042459 0.000001 0.467571
RASAL1 0.226856 0.044597 0.718787 0.316877
TMEM9B 0.226856 0.044597 0.718787 0.316877
TMED1 0.221332 0.042227 0.005280 0.304787
C20orf201 0.224437 0.041593 0.634569 0.312463
MSRB2 0.181267 0.041820 0.000001 0.297372
CALML4 0.220807 0.039965 0.007029 0.287252
SERPINB10 0.218239 0.036919 0.591083 0.310287
SETD8 0.220932 0.041481 0.260432 0.292761
GAS1 0.220980 0.040212 0.267339 0.297015
TTC9C 0.154972 0.038862 0.000001 0.474978
TM6SF1 0.156141 0.040090 0.000001 0.338418
DDX58 0.220754 0.041956 0.042554 0.298366
BAX 0.206399 0.038756 0.000001 0.284855
ABCC4 0.206399 0.038756 0.000001 0.284855
NCOA4 0.220430 0.044550 0.167281 0.297758
SPDYE6 0.219838 0.048335 0.039688 0.290387
SLC1A7 0.220198 0.042589 0.211673 0.316831
RPL17 0.217916 0.044825 0.000001 0.291329
OASL 0.218685 0.045084 0.285744 0.302639
MYO5B 0.215322 0.040730 0.324888 0.319948
TAF1A 0.215322 0.040730 0.324888 0.319948
VANGL1 0.219295 0.042646 0.159883 0.297597
ZBED4 0.219295 0.042646 0.159883 0.297597
PWP1 0.220396 0.040565 0.077604 0.292115
ZNF846 0.219743 0.039387 0.682652 0.325214
ZNF708 0.210190 0.045884 0.000001 0.277785
SSTR3 0.222416 0.038224 0.679624 0.320492
ASPRV1 0.219292 0.040823 0.615993 0.295850
RALGDS 0.214286 0.038643 0.644926 0.335300
RBL2 0.214286 0.038643 0.644926 0.335300
FADS1 0.214286 0.038643 0.644926 0.335300
BTG2 0.218879 0.038949 0.042359 0.305525
SLFN13 0.219799 0.040167 0.245495 0.297770
PLEKHA5 0.219799 0.040167 0.245495 0.297770
ATP6V0D1 0.213048 0.049546 0.484772 0.296144
CCDC66 0.213048 0.049546 0.484772 0.296144
ZMYND12 0.154746 0.031956 0.000001 0.342801
CBR4 0.166141 0.040890 0.000001 0.410941
RPS6KA2 0.166141 0.040890 0.000001 0.410941
ST14 0.217829 0.038748 0.310447 0.292984
ZMAT3 0.217829 0.038748 0.310447 0.292984
PITPNM3 0.162208 0.040917 0.000001 0.404650
MIF4GD 0.218804 0.039275 0.100449 0.264825
OAT 0.188981 0.039653 0.000001 0.320004
C7orf44 0.217678 0.039871 0.262865 0.278913
MRVI1 0.182759 0.036734 0.000001 0.332315
MLST8 0.157533 0.040919 0.000001 0.422932
GDE1 0.102459 0.020756 0.000001 0.339319
ARPP19 0.209735 0.041719 0.000001 0.296274
RELT 0.217410 0.042174 0.187438 0.292780
ANKRD32 0.217728 0.039663 0.060200 0.243459
NUP85 0.216680 0.039686 0.146336 0.302111
MSRA 0.217704 0.042477 0.023564 0.308533
IREB2 0.221822 0.039971 0.669626 0.324493
LRRC28 0.213534 0.039112 0.000001 0.293115
YIF1B 0.213534 0.039112 0.000001 0.293115
AGAP6 0.213534 0.039112 0.000001 0.293115
PMS2 0.155797 0.032949 0.000001 0.284186
SCFD1 0.155797 0.032949 0.000001 0.284186
HECW2 0.218027 0.044942 0.105725 0.308653
AMY2B 0.146175 0.047027 0.000001 0.410721
SLC44A2 0.180126 0.040508 0.000001 0.371749
SLC46A2 0.217036 0.039423 0.029917 0.295711
CD300LB 0.215320 0.042618 0.347187 0.301218
ZNF81 0.215320 0.042618 0.347187 0.301218
FAT2 0.148927 0.043654 0.000001 0.424387
MCOLN2 0.221178 0.044140 0.602705 0.313038
AMZ2 0.218009 0.041540 0.300791 0.309089
CLK4 0.218009 0.041540 0.300791 0.309089
ESYT2 0.216500 0.038994 0.054018 0.305666
CCDC53 0.186120 0.033641 0.000001 0.260833
LXN 0.178386 0.044364 0.000001 0.356603
PKD1L1 0.173166 0.038089 0.000001 0.381876
HEXB 0.173166 0.038089 0.000001 0.381876
SGIP1 0.213753 0.038851 0.344388 0.318724
CERK 0.170543 0.041458 0.000001 0.393214
FRAT1 0.216904 0.038135 0.218221 0.330326
LRRC4B 0.126629 0.024851 0.000001 0.340104
TMEM218 0.126629 0.024851 0.000001 0.340104
SGCE 0.215421 0.039226 0.065308 0.302318
RALB 0.214772 0.038057 0.410214 0.314976
BTN2A1 0.162046 0.050437 0.000001 0.381535
LAGE3 0.162046 0.050437 0.000001 0.381535
IGSF11 0.162046 0.050437 0.000001 0.381535
ALDH3A2 0.215582 0.047674 0.347836 0.287923
KCNA6 0.174587 0.034529 0.000001 0.337711
NINJ1 0.214926 0.044068 0.008038 0.323648
RAB31 0.169550 0.034371 0.000001 0.335492
FAM198B 0.215501 0.041743 0.086348 0.290924
ACBD4 0.217120 0.045027 0.355335 0.295161
EHMT1 0.165920 0.041521 0.000001 0.403345
TUBGCP2 0.213858 0.044702 0.134155 0.313845
ZDHHC21 0.213858 0.044702 0.134155 0.313845
TTC24 0.217959 0.040855 0.355667 0.288693
ANO5 0.214784 0.037606 0.156741 0.321507
ERBB3 0.215893 0.042047 0.552444 0.308701
PHKA2 0.215893 0.042047 0.552444 0.308701
ADAMDEC1 0.214575 0.041988 0.390506 0.343322
RPL29 0.213845 0.058750 0.000001 0.285316
GPNMB 0.215122 0.040148 0.445213 0.306642
ENTPD6 0.214190 0.049743 0.051148 0.287273
TXN 0.168123 0.042975 0.000001 0.339485
MAN2B1 0.215427 0.041463 0.261322 0.295165
WDR5B 0.214212 0.042477 0.543808 0.310191
PDHB 0.213586 0.043034 0.234171 0.308762
MMP25 0.213415 0.041152 0.443805 0.317467
RPAP3 0.146805 0.044154 0.000001 0.435206
PSMB3 0.146805 0.044154 0.000001 0.435206
PDCD1LG2 0.166275 0.043101 0.000001 0.378517
BCL2L13 0.186027 0.035171 0.000001 0.318790
SQRDL 0.212001 0.046085 0.087268 0.275816
PKIG 0.216618 0.037725 0.536897 0.313924
VPS16 0.166797 0.036005 0.000001 0.333650
BACE2 0.166797 0.036005 0.000001 0.333650
CCDC157 0.212948 0.042853 0.427327 0.313826
GOLGA8B 0.150341 0.045636 0.000001 0.418140
ZNF529 0.212834 0.046363 0.076040 0.292038
GIMAP8 0.212834 0.046363 0.076040 0.292038
GPR34 0.212834 0.046363 0.076040 0.292038
FXYD7 0.213705 0.038347 0.728767 0.316757
ARHGAP9 0.213705 0.038347 0.728767 0.316757
UCKL1 0.213705 0.038347 0.728767 0.316757
SLC4A5 0.214942 0.049468 0.140911 0.304716
RNF13 0.211871 0.037335 0.081191 0.319812
TMEM18 0.214135 0.039787 0.279579 0.295122
MYH7B 0.214135 0.039787 0.279579 0.295122
CD1E 0.214135 0.039787 0.279579 0.295122
SUV420H2 0.143981 0.034926 0.000001 0.340517
CPD 0.164570 0.045731 0.000001 0.314247
DNASE1L3 0.209561 0.046209 0.424257 0.306776
PROCA1 0.210862 0.041769 0.234734 0.301178
NOS1AP 0.208132 0.039323 0.451551 0.328044
TSEN34 0.208132 0.039323 0.451551 0.328044
STON1 0.212206 0.042505 0.496032 0.328607
WASF2 0.212206 0.042505 0.496032 0.328607
EDN3 0.136836 0.028874 0.000001 0.317852
AKAP7 0.210348 0.042086 0.081758 0.304198
RNASE3 0.118053 0.033810 0.000001 0.318771
GRTP1 0.210767 0.041651 0.081482 0.333623
PSMB8 0.170675 0.047289 0.000001 0.366880
FAM174A 0.170675 0.047289 0.000001 0.366880
C6orf97 0.170675 0.047289 0.000001 0.366880
SNX21 0.208772 0.040970 0.195902 0.277266
TBXAS1 0.208772 0.040970 0.195902 0.277266
AP3S2 0.186469 0.038132 0.000001 0.325315
MKKS 0.209994 0.038556 0.056762 0.330042
FZD2 0.143736 0.033556 0.000001 0.319293
TMEM106C 0.143736 0.033556 0.000001 0.319293
C6orf163 0.210862 0.039928 0.314331 0.318192
ARHGEF35 0.166975 0.040412 0.000001 0.355654
JAKMIP3 0.211084 0.038899 0.369273 0.336642
TSNARE1 0.175377 0.039318 0.000001 0.381616
SCO1 0.144626 0.035486 0.000001 0.493805
FGGY 0.209547 0.043714 0.117386 0.333707
MEOX1 0.209880 0.044566 0.142087 0.289528
TRIM68 0.209254 0.042360 0.228632 0.322251
ASCL2 0.208721 0.039305 0.200089 0.311767
MFI2 0.090467 0.023135 0.000001 0.360105
VAMP5 0.090467 0.023135 0.000001 0.360105
SCARA5 0.209357 0.042915 0.294928 0.307458
BDH2 0.209357 0.042915 0.294928 0.307458
SSC5D 0.163826 0.040538 0.000001 0.390651
DAP 0.208633 0.036315 0.287569 0.328176
COLEC12 0.208926 0.042375 0.180768 0.329674
CCDC103 0.208926 0.042375 0.180768 0.329674
HSDL1 0.181427 0.038802 0.000001 0.356540
PON2 0.210441 0.042702 0.160300 0.262153
KCNAB2 0.210441 0.042702 0.160300 0.262153
TYK2 0.160016 0.036904 0.000001 0.324737
PLXDC1 0.209107 0.041933 0.519625 0.295274
ANKRD54 0.168381 0.043573 0.000001 0.348256
PTGFR 0.208509 0.041725 0.099796 0.270625
TRIM16 0.208595 0.041359 0.016129 0.300666
C8orf40 0.209222 0.042323 0.203720 0.300067
ZFR2 0.179839 0.037287 0.000001 0.326347
ZNF93 0.208522 0.042596 0.332973 0.322500
SOLH 0.205982 0.042641 0.248126 0.313604
IGFBP4 0.207321 0.045003 0.445485 0.326570
HNRNPH2 0.207321 0.045003 0.445485 0.326570
C3orf25 0.206647 0.046297 0.185313 0.305036
EEF1G 0.133045 0.028093 0.000001 0.316461
CARD9 0.133045 0.028093 0.000001 0.316461
HES4 0.133045 0.028093 0.000001 0.316461
FGD3 0.133045 0.028093 0.000001 0.316461
DOK2 0.206899 0.039416 0.110323 0.328909
GTPBP5 0.172666 0.039766 0.000001 0.382508
LRRC69 0.172666 0.039766 0.000001 0.382508
KIF24 0.172666 0.039766 0.000001 0.382508
UNC119B 0.162816 0.040651 0.000001 0.342538
LMOD1 0.206877 0.040228 0.070190 0.319983
ILVBL 0.207855 0.041523 0.085587 0.308135
RIPK4 0.207855 0.041523 0.085587 0.308135
ATP13A4 0.160723 0.033605 0.000001 0.418723
TPD52 0.203658 0.042021 0.456241 0.330080
CLEC2D 0.149819 0.033096 0.000001 0.335435
APOL4 0.130366 0.034520 0.000001 0.333754
REPS1 0.130366 0.034520 0.000001 0.333754
CLEC10A 0.203601 0.040194 0.270890 0.336538
TRIM14 0.204738 0.043653 0.603583 0.329425
RIBC2 0.204738 0.043653 0.603583 0.329425
VMO1 0.177972 0.039535 0.000001 0.361792
ZNF814 0.203665 0.037959 0.510464 0.325911
KLHDC7B 0.205848 0.044479 0.459755 0.314317
IRAK1BP1 0.205784 0.041677 0.140659 0.303470
TRIM41 0.170543 0.043042 0.000001 0.313172
C1orf174 0.205758 0.041288 0.151897 0.330868
KLRC4 0.205758 0.041288 0.151897 0.330868
ACER3 0.175309 0.039360 0.000001 0.362232
DNAH8 0.175309 0.039360 0.000001 0.362232
BCL9 0.175309 0.039360 0.000001 0.362232
ZNF613 0.173830 0.035786 0.000001 0.326765
LAMC1 0.120648 0.026745 0.000001 0.351302
POLR2I 0.208996 0.040732 0.681212 0.315929
STX7 0.167056 0.041831 0.000001 0.373918
SAT2 0.162626 0.030755 0.000001 0.321246
GPR161 0.146378 0.038269 0.000001 0.420365
PQLC3 0.206260 0.041139 0.325482 0.329241
C14orf182 0.204793 0.044934 0.137163 0.318407
ZNF331 0.206466 0.035706 0.158281 0.304724
DAGLB 0.207002 0.037647 0.320466 0.290679
SHC1 0.207002 0.037647 0.320466 0.290679
GSTZ1 0.207002 0.037647 0.320466 0.290679
CD200R1L 0.207002 0.037647 0.320466 0.290679
PDK2 0.204361 0.037758 0.124360 0.318033
MLH1 0.203403 0.044706 0.229679 0.324296
PLEKHA7 0.203403 0.044706 0.229679 0.324296
GIPC1 0.176628 0.035165 0.000001 0.298700
MAP3K11 0.204637 0.045474 0.421099 0.317840
NOS3 0.204635 0.041050 0.071034 0.298223
GORAB 0.204635 0.041050 0.071034 0.298223
SMARCB1 0.204481 0.037962 0.087057 0.293866
KIAA1274 0.168533 0.039600 0.000001 0.320982
GPCPD1 0.127748 0.032810 0.000001 0.323703
UBE2E3 0.204151 0.040339 0.522430 0.315916
GFER 0.205370 0.039917 0.118817 0.309650
IFI30 0.205370 0.039917 0.118817 0.309650
PARP15 0.204419 0.042645 0.025843 0.268739
PADI4 0.159178 0.040729 0.000001 0.384351
C7orf49 0.207683 0.037780 0.531951 0.307321
RIMS3 0.203966 0.037872 0.018176 0.324939
SEMA6C 0.203966 0.037872 0.018176 0.324939
CC2D2A 0.203950 0.036793 0.034811 0.302197
IFNAR1 0.203950 0.036793 0.034811 0.302197
KLRD1 0.203705 0.040093 0.006581 0.281351
VDR 0.203705 0.040093 0.006581 0.281351
SLC25A1 0.203658 0.039352 0.060557 0.308730
C17orf50 0.203658 0.039352 0.060557 0.308730
KIFC2 0.202311 0.047550 0.395867 0.308654
KCNK13 0.196763 0.037841 0.000001 0.309185
SESN3 0.203106 0.044399 0.008957 0.329293
MAP3K9 0.202785 0.037395 0.000001 0.297471
ZNF282 0.202785 0.037395 0.000001 0.297471
PGPEP1 0.202512 0.038204 0.442193 0.323602
CCDC25 0.176546 0.037736 0.000001 0.347177
IMP4 0.171663 0.040668 0.000001 0.362650
CD59 0.202528 0.038785 0.113817 0.328399
KLHL5 0.211216 0.041384 0.721984 0.320031
CECR1 0.206284 0.040627 0.298939 0.315904
EXPH5 0.200392 0.039926 0.323846 0.311472
RHOU 0.200625 0.043318 0.208479 0.323725
TMEM60 0.200625 0.043318 0.208479 0.323725
FAM89A 0.200625 0.043318 0.208479 0.323725
CPEB4 0.201637 0.038576 0.185216 0.315937
UHRF1BP1L 0.169121 0.041390 0.000001 0.373478
MEPCE 0.171484 0.043296 0.000001 0.343850
C18orf1 0.201366 0.038953 0.398758 0.314900
KIAA1024 0.201900 0.039150 0.005651 0.327882
PTPRJ 0.137754 0.054970 0.000001 0.385669
NDRG4 0.137754 0.054970 0.000001 0.385669
BCO2 0.137754 0.054970 0.000001 0.385669
ARNTL 0.137754 0.054970 0.000001 0.385669
LRPAP1 0.201654 0.039268 0.013330 0.297147
KRT79 0.201654 0.039268 0.013330 0.297147
LMCD1 0.186649 0.035008 0.000001 0.280678
TMCO3 0.186649 0.035008 0.000001 0.280678
RPTOR 0.201604 0.035637 0.071675 0.340082
