gene h2 se p
HTRA3 0.449614 0.348401 0.08359
KCNJ15 0.552661 0.378119 0.0837
CAMP 0.391295 0.326182 0.08373
RPS6KA5 0.564768 0.379826 0.0838
AKAP10 0.534094 0.374384 0.08396
CALHM1 0.590420 0.388933 0.08398
C10orf105 0.580796 0.384108 0.084
UBE2L6 0.494336 0.363858 0.0841
TRIP10 0.520454 0.367609 0.08416
ELOVL4 0.551317 0.377547 0.08422
ZFYVE20 0.579724 0.386456 0.08428
ADORA1 0.574963 0.383423 0.08436
STT3A 0.580418 0.386965 0.08447
SERPING1 0.472807 0.355965 0.08453
DEFA4 0.467182 0.357345 0.08454
RPLP1 0.541842 0.376467 0.08455
PTCHD2 0.492501 0.363505 0.08456
CCDC157 0.550999 0.377424 0.08462
IRS2 0.512473 0.370957 0.08464
DAP3 0.500795 0.364776 0.08466
TAGLN2 0.564237 0.381629 0.0847
FAM32A 0.504027 0.366341 0.08478
ANKRD26 0.517123 0.367902 0.08489
MSR1 0.479460 0.360172 0.08489
LOC100268168 0.507167 0.362979 0.08503
LMO4 0.522866 0.371124 0.08511
SLC9A3R2 0.628205 0.398977 0.08521
MOB2 0.548858 0.378463 0.08532
CXCR7 0.591336 0.391563 0.08533
CLIC5 0.519964 0.367207 0.08537
FAM184B 0.512090 0.369523 0.08556
RPL18 0.567202 0.381994 0.08556
ENC1 0.584226 0.387146 0.08562
XPO1 0.483736 0.357387 0.08573
ANKRA2 0.490449 0.362334 0.08583
PLCH2 0.507652 0.366543 0.08583
SH3YL1 0.631048 0.400811 0.086
ZNF667 0.522319 0.376966 0.086
C16orf93 0.519724 0.371782 0.08601
PSD4 0.519590 0.370923 0.08609
FUT1 0.483741 0.359775 0.08616
NRM 0.546049 0.378219 0.08622
TRPC6 0.453268 0.350606 0.08625
CEP68 0.563987 0.382210 0.08632
PTCRA 0.521664 0.372378 0.08667
HIST1H2BC 0.545326 0.381643 0.08673
KCNH4 0.501094 0.369640 0.08676
LOC440434 0.505571 0.365426 0.08683
GRHL1 0.508462 0.367692 0.08684
UBR1 0.515285 0.367566 0.08688
BST2 0.566357 0.387071 0.08694
ALG10 0.466516 0.352738 0.08706
KIAA0284 0.544857 0.379997 0.08706
PDZD3 0.538477 0.375743 0.08708
ALDH3A2 0.496864 0.366629 0.08712
EIF5 0.546810 0.378667 0.08715
B3GALT6 0.567940 0.385471 0.08717
RNU86 0.528942 0.379809 0.08717
S100A12 0.543841 0.376668 0.08724
LOC728989 0.606922 0.396411 0.08725
TAS2R14 0.570587 0.385082 0.08731
SFN 0.569096 0.385857 0.08732
ITGA6 0.555076 0.382531 0.08735
LANCL3 0.510215 0.367831 0.08748
AAK1 0.530664 0.373644 0.08774
ALMS1 0.510173 0.367042 0.08775
YIPF3 0.543347 0.380137 0.08785
IGFBP7 0.501655 0.367112 0.08798
SLC5A5 0.531261 0.378014 0.08812
HNMT 0.506714 0.369328 0.08814
YEATS4 0.595343 0.397143 0.08816
KCTD14 0.576397 0.387542 0.08821
C2orf49 0.488986 0.362464 0.08834
CLEC10A 0.541124 0.383778 0.08851
C2orf68 0.546405 0.380154 0.08866
LOC91316 0.519557 0.370395 0.08866
ZDHHC18 0.510675 0.369842 0.08872
SNORD25 0.531785 0.378014 0.08874
MLF1 0.576230 0.390447 0.08877
KIF16B 0.527699 0.375448 0.08879
FAM63A 0.502086 0.365906 0.08886
PNPLA4 0.496033 0.367249 0.08888
CXCL9 0.445994 0.352879 0.0889
LOC100288730 0.513146 0.369536 0.08896
DHFR 0.588696 0.390462 0.08897
CYorf15A 0.486948 0.364468 0.08907
DNAJC3 0.507853 0.367780 0.08907
PIBF1 0.486918 0.366710 0.08907
APBA2 0.490661 0.363054 0.08918
RAB5A 0.532353 0.376606 0.08921
GTF3C4 0.508536 0.371969 0.08925
DNASE1L3 0.513140 0.374126 0.08927
TTTY14 0.519724 0.372471 0.08944
PLRG1 0.545263 0.378058 0.08947
MX2 0.545009 0.379402 0.0896
CLN3 0.544214 0.382198 0.08962
C17orf44 0.534165 0.378010 0.08969
NCKAP1 0.509703 0.369994 0.08974
LOC648740 0.479771 0.361473 0.0899
DAXX 0.410945 0.338493 0.09001
LAG3 0.514866 0.375780 0.09002
KANK1 0.608247 0.397567 0.09006
IKBKB 0.552358 0.381361 0.0901
SLC22A4 0.503569 0.368168 0.0901
ZBTB40 0.519162 0.372861 0.09019
WRB 0.514770 0.372430 0.09029
ISOC2 0.435384 0.351518 0.09039
CD19 0.517839 0.371177 0.09044
GATS 0.513545 0.369458 0.09044
BAHD1 0.513860 0.375007 0.09045
ITLN1 0.578098 0.393522 0.09059
SLC38A10 0.546156 0.382911 0.09081
DPP9 0.569900 0.388767 0.09104
CLEC12A 0.604668 0.398356 0.09108
LY75 0.495584 0.370340 0.09108
LRRC48 0.529219 0.378665 0.09125
TMEM88 0.495454 0.365005 0.0914
GNG8 0.526038 0.376784 0.09161
HOXB4 0.461661 0.360564 0.09171
ATP6V1E2 0.481314 0.363346 0.09174
ZNF528 0.593859 0.397704 0.0918
MAST4 0.462207 0.356570 0.09186
PIGM 0.544324 0.380663 0.09186
CTSK 0.563625 0.388117 0.0919
ARL16 0.489182 0.362970 0.09196
ESR2 0.514545 0.372247 0.09213
ZNF697 0.523468 0.377110 0.09215
ING2 0.450041 0.355841 0.09226
FOXRED2 0.594251 0.397233 0.09228
PGF 0.463272 0.355090 0.09229
NMB 0.547475 0.381514 0.09232
DDX60L 0.538298 0.379058 0.09233
ARID5B 0.467200 0.356067 0.09259
DECR2 0.536741 0.379657 0.09259
TXNDC6 0.458825 0.355330 0.09276
ITIH2 0.550639 0.384259 0.0928
SHQ1 0.542983 0.381722 0.09282
NAPRT1 0.522920 0.376515 0.09294
FAM164A 0.554179 0.385538 0.09298
LOC100294145 0.443012 0.352997 0.09303
RPIA 0.500904 0.368205 0.09308
PTPRK 0.502478 0.372020 0.09313
C12orf51 0.546566 0.383641 0.09314
BCAR1 0.544358 0.382236 0.09317
DBNDD1 0.527442 0.374414 0.09318
TNPO1 0.539058 0.382123 0.09327
MAK 0.521149 0.374247 0.09329
ALG12 0.495201 0.367028 0.0933
CHRNA5 0.556208 0.389139 0.09331
LOC729723 0.582578 0.391508 0.09333
C22orf27 0.494728 0.364602 0.09337
C9orf7 0.500755 0.368679 0.0934
C18orf1 0.447791 0.351707 0.0936
NFATC1 0.411091 0.341631 0.09365
PNPT1 0.531950 0.383019 0.09369
PON2 0.495753 0.366182 0.09371
LASS6 0.522207 0.374078 0.09378
RASA4P 0.490647 0.367065 0.0938
LTF 0.383204 0.330456 0.09381
C19orf34 0.502935 0.370486 0.09384
MYD88 0.519808 0.377389 0.09384
PSTK 0.479489 0.365929 0.09387
SLC33A1 0.552131 0.386370 0.09397
TNFRSF13C 0.458818 0.358409 0.09412
ABP1 0.531041 0.379387 0.09417
CSNK2B 0.408422 0.340953 0.09422
TTLL2 0.472393 0.358008 0.09423
ZNF680 0.554350 0.385079 0.09431
MC1R 0.469567 0.362065 0.09432
PDIA5 0.514354 0.381094 0.09453
SERINC1 0.497493 0.368344 0.09456
PXK 0.457436 0.354850 0.09463
PDPR 0.555341 0.387281 0.09487
FAM109A 0.488741 0.366920 0.09503
MOCS3 0.488701 0.367216 0.09503
LOH12CR2 0.444893 0.357809 0.09533
LGALS9B 0.540580 0.382939 0.09534
CAPRIN2 0.570853 0.391370 0.0954
BPHL 0.571510 0.391137 0.09547
SLC5A6 0.567922 0.390316 0.09557
SLED1 0.478713 0.364294 0.09559
ANXA5 0.386796 0.334088 0.0956
KIAA0895L 0.538423 0.383361 0.09561
RNF213 0.458127 0.364615 0.09562
PLEKHG6 0.515805 0.377286 0.09565
FLI1 0.491393 0.369114 0.09568
ATP2C1 0.550326 0.384259 0.09585
IL8 0.535912 0.383041 0.09585
BEST1 0.455061 0.358116 0.09586
MOBKL2B 0.576865 0.393281 0.09587
SLC1A4 0.479009 0.369547 0.09591
ATP13A1 0.502913 0.370494 0.09608
XIST 0.506259 0.375035 0.09612
DSCR3 0.556096 0.387901 0.09617
GPR27 0.496144 0.370120 0.09623
RAD51L3 0.483012 0.367982 0.09635
LOC148413 0.472588 0.361613 0.09636
CBLN3 0.573918 0.396219 0.09662
MCM8 0.490158 0.373542 0.09667
CENPP 0.553095 0.386728 0.09676
FCHSD1 0.577217 0.394206 0.09677
AR 0.509630 0.374411 0.09689
SOS2 0.550806 0.386260 0.09692
PASK 0.483615 0.365361 0.09704
PDF 0.506986 0.373033 0.09704
ZZZ3 0.512821 0.377831 0.09711
NEO1 0.476114 0.362191 0.09712
RPL23AP82 0.532759 0.383193 0.09714
MRE11A 0.481616 0.370733 0.09719
C10orf47 0.447580 0.360423 0.09724
RAB28 0.519285 0.377522 0.09725
HEATR6 0.578861 0.394323 0.0973
CLEC9A 0.547908 0.385774 0.09733
CIDEB 0.411188 0.347671 0.09748
LRP2BP 0.541907 0.386381 0.09781
RPL19 0.494458 0.371429 0.09782
KIAA1543 0.538218 0.384119 0.09783
TRMT1 0.479228 0.365390 0.09785
DBNDD2 0.497895 0.371134 0.09795
LOC284232 0.507123 0.375425 0.09797
SNORD104 0.458004 0.362604 0.09799
TRPM5 0.550877 0.389719 0.0981
TEX10 0.553147 0.387413 0.09812
TTC31 0.500033 0.371730 0.09824
UTP18 0.495756 0.372474 0.09824
UNC5CL 0.542597 0.388277 0.09831
PTCD3 0.514300 0.376729 0.09855
ROCK1 0.510508 0.376254 0.09856
ZNF767 0.515762 0.376637 0.09856
CIAO1 0.516759 0.378052 0.0986
LOC221710 0.489176 0.372155 0.09865
PFDN6 0.512557 0.378057 0.09867
TRIM17 0.513269 0.377445 0.09867
FGL2 0.506830 0.375781 0.09873
METTL11A 0.513373 0.375982 0.09873
C19orf25 0.531054 0.382969 0.09875
KLRC2 0.524914 0.379270 0.09877
ME2 0.482796 0.371079 0.09891
C9orf93 0.514696 0.381398 0.09898
TTC24 0.482034 0.369683 0.09927
HIST1H4D 0.475285 0.363157 0.09929
FBXO21 0.527286 0.383962 0.09933
HMGCR 0.486734 0.370846 0.09944
FBXO7 0.514990 0.377622 0.09952
FAM98C 0.392822 0.341237 0.0996
CCDC85B 0.578038 0.396958 0.09997
COPB1 0.505050 0.374273 0.1001
DCLK2 0.531103 0.383258 0.1001
TPRG1L 0.530036 0.385212 0.1001
GDF9 0.524802 0.382347 0.1003
ERBB2IP 0.471951 0.366402 0.1005
PTPN18 0.554752 0.394862 0.1005
GRPEL2 0.498916 0.375894 0.1007
ITM2A 0.518881 0.380187 0.1007
SERP1 0.598619 0.401189 0.1008
VPS45 0.481263 0.367343 0.1008
KCNAB1 0.470027 0.365309 0.1009
NPRL3 0.551091 0.389106 0.1009
FAM13A 0.511505 0.377171 0.101
UEVLD 0.479279 0.367929 0.1012
FGR 0.497245 0.373928 0.1014
TTTY15 0.463100 0.364586 0.1014
KPNA2 0.502312 0.376996 0.1015
SNORA67 0.461702 0.362295 0.1015
EXT2 0.456134 0.360595 0.1016
CAPN7 0.510270 0.377138 0.1017
KIAA1462 0.475842 0.366345 0.1017
NOLC1 0.543351 0.387600 0.1017
SMCR7 0.412440 0.345559 0.1017
TUBB3 0.510817 0.380123 0.1017
HMBOX1 0.558148 0.392210 0.1018
NDE1 0.541559 0.388090 0.1018
SLC7A8 0.530974 0.383573 0.1019
DNHD1 0.508379 0.378704 0.102
SS18L1 0.450867 0.363598 0.102
TTLL11 0.549505 0.389815 0.102
ZNF628 0.552420 0.393880 0.102
CEACAM6 0.405790 0.346108 0.1021
DISP2 0.415904 0.347178 0.1021
ADAMTS1 0.467318 0.366408 0.1022
RNF149 0.456631 0.358694 0.1023
SGSM1 0.374617 0.335520 0.1023
SPAG1 0.500598 0.374559 0.1023
DSE 0.492361 0.371848 0.1025
SEMA4D 0.446890 0.359348 0.1028
CCDC50 0.438023 0.353128 0.1029
PFKM 0.438248 0.357158 0.103
LCN10 0.479774 0.367029 0.1031
ZCCHC17 0.439285 0.357482 0.1031
C21orf122 0.501187 0.378866 0.1032
DHX58 0.543736 0.389656 0.1032
EMP1 0.486337 0.373056 0.1032
TAF6 0.473649 0.365776 0.1032
DFNA5 0.488278 0.371805 0.1033
SLC16A7 0.458095 0.362491 0.1033
ZNF609 0.480457 0.367573 0.1034
LRGUK 0.487482 0.371978 0.1035
NCRNA00161 0.517375 0.382940 0.1035
E2F5 0.432766 0.353467 0.1036
MRPL43 0.507860 0.379424 0.1037
CYSLTR1 0.489763 0.375525 0.1038
HCFC1 0.487662 0.373714 0.1038
IRF7 0.450022 0.365974 0.1038
KANK3 0.436045 0.357036 0.1038
P4HA1 0.522344 0.381972 0.1038
EP400 0.489973 0.372354 0.1039
MIR25 0.454137 0.363049 0.1043
FCRL2 0.452161 0.361024 0.1044
L3MBTL2 0.431680 0.351921 0.1045
ZC3H3 0.513435 0.383112 0.1046
BEST2 0.467326 0.370053 0.1047
RBM19 0.451497 0.364762 0.1048
TBX6 0.526439 0.385162 0.1048
FAM45B 0.472618 0.371389 0.1049
ITGAD 0.488120 0.370988 0.1049
C5orf51 0.537170 0.387418 0.1051
ISG20 0.472582 0.371136 0.1051
TRIM33 0.453294 0.360016 0.1051
FUT2 0.513650 0.382129 0.1052
KLHL9 0.499426 0.377038 0.1053
IER5L 0.373432 0.335684 0.1054
C14orf145 0.551815 0.392483 0.1055
SLC38A1 0.503392 0.377955 0.1055
ST3GAL4 0.454065 0.364706 0.1055
CSNK1G1 0.416925 0.350452 0.1056
MADCAM1 0.524388 0.384968 0.1056
PRICKLE1 0.527147 0.386699 0.1056
ATP1A1OS 0.523642 0.384454 0.1057
OPRL1 0.447429 0.360939 0.1057
GPR135 0.499552 0.378810 0.1058
PLIN1 0.481208 0.372771 0.1058
LOC100129637 0.457398 0.363462 0.1059
ELANE 0.448987 0.363312 0.106
NICN1 0.392126 0.339910 0.1063
RETSAT 0.508461 0.381351 0.1063
C9orf116 0.461396 0.364912 0.1064
ICK 0.476992 0.370216 0.1065
JAM3 0.394812 0.343472 0.1065
STAU1 0.474797 0.369843 0.1065
ZBTB47 0.434317 0.361333 0.1065
FAM100B 0.483239 0.371942 0.1066
PQLC2 0.436474 0.358286 0.1068
RHOF 0.495539 0.377787 0.1068
STK4 0.427539 0.360049 0.1068
ARRB1 0.510995 0.382814 0.1069
C17orf87 0.470120 0.371206 0.1069
DIRC2 0.539479 0.391546 0.1069
ELP3 0.455893 0.362353 0.1069
FN3K 0.513021 0.381936 0.1069
TLR1 0.518312 0.383684 0.1069
ATG10 0.487478 0.376734 0.107
LRRC28 0.402018 0.345839 0.1072
PITPNB 0.400474 0.344981 0.1072
ACAP3 0.401076 0.340751 0.1073
LAMP2 0.501119 0.381522 0.1073
P2RY1 0.457782 0.367778 0.1073
PAX6 0.506144 0.381483 0.1073
RUSC2 0.560744 0.397800 0.1073
TIGD1 0.453152 0.363930 0.1073
LRCH1 0.534580 0.389964 0.1074
THEM4 0.502202 0.381996 0.1074
ZBTB7C 0.470163 0.366770 0.1074
PRR7 0.587505 0.402842 0.1075
SLC43A2 0.494823 0.376386 0.1075
WFIKKN1 0.440782 0.355970 0.1075
PRTN3 0.384669 0.341465 0.1076
UROS 0.565036 0.398486 0.1076
KIAA0586 0.507635 0.381272 0.1077
MLH1 0.503648 0.381229 0.1077
PLEKHA2 0.454446 0.367257 0.1077
ROD1 0.474346 0.374024 0.1078
FBXW8 0.415772 0.351142 0.1079
C1orf192 0.475469 0.370424 0.108
LOC100124692 0.429923 0.355991 0.108
TXK 0.496464 0.378519 0.108
EMILIN2 0.534857 0.390416 0.1081
PVRL2 0.489826 0.374048 0.1081
RIN3 0.536379 0.392848 0.1081
BCAT2 0.462548 0.370269 0.1083
ZNF285 0.427179 0.353671 0.1085
HAGH 0.513692 0.383303 0.1086
LOC338799 0.439196 0.358012 0.1086
AGPHD1 0.466127 0.366657 0.1087
CEP55 0.451265 0.368008 0.1087
FAM13B 0.461405 0.368669 0.1087
LZIC 0.516863 0.386258 0.1087
PCOLCE2 0.390527 0.344520 0.1087
MAP3K11 0.525346 0.386438 0.1088
RALBP1 0.559636 0.395635 0.1088
SH2B2 0.483891 0.373467 0.1088
CD38 0.493787 0.379648 0.1089
KBTBD7 0.486062 0.378230 0.1089
MAP2 0.450041 0.364178 0.1089
WASH1 0.463463 0.370436 0.1089
ATP1A3 0.543172 0.392943 0.109
IPPK 0.419079 0.354866 0.109
SLC27A1 0.537088 0.393548 0.109
CLK2 0.431571 0.359283 0.1091
LTBP3 0.467689 0.368399 0.1091
MIR3648 0.512434 0.386621 0.1091
UFSP1 0.509407 0.385873 0.1091
CNTNAP3 0.491364 0.376065 0.1092
MED13 0.435831 0.359456 0.1092
MXD1 0.451766 0.364903 0.1093
THAP6 0.516990 0.384775 0.1093
SRA1 0.478982 0.374023 0.1094
LOC100130093 0.482022 0.374921 0.1095
PODN 0.499999 0.380611 0.1095
PRPF39 0.492201 0.378495 0.1095
COPS3 0.510923 0.383349 0.1096
ARID1B 0.456413 0.366861 0.1097
KIAA1683 0.511555 0.383682 0.1099
LARGE 0.474623 0.374005 0.1099
CASC1 0.481653 0.376825 0.1101
FAM159A 0.474862 0.371096 0.1101
GALK2 0.458913 0.365307 0.1102
SDHAP1 0.489209 0.379242 0.1102
TMSB4Y 0.502075 0.383236 0.1102
GRK5 0.481296 0.372971 0.1103
RB1CC1 0.457805 0.365172 0.1103
SLC47A1 0.491584 0.380476 0.1103
FASN 0.493084 0.377825 0.1104
GCOM1 0.460639 0.368152 0.1105
PPP1R12A 0.503903 0.384138 0.1105
LYSMD1 0.454399 0.365898 0.1106
ELOVL6 0.387850 0.343107 0.1107
CAMK1D 0.517364 0.387040 0.1108
CAND1 0.538030 0.392147 0.1108
CUBN 0.524642 0.388087 0.1109
CRISPLD2 0.509308 0.384261 0.111
NCSTN 0.486017 0.378414 0.111
ARF3 0.408909 0.351439 0.1111
FYB 0.435761 0.362378 0.1111
OAZ3 0.497323 0.381669 0.1111
ARHGEF25 0.350979 0.328301 0.1112
CPSF2 0.500974 0.379996 0.1112
GLI3 0.467331 0.372204 0.1112
MOBKL2A 0.430987 0.363971 0.1112
SLC24A3 0.509163 0.386632 0.1112
STARD3NL 0.478132 0.375295 0.1112
UPB1 0.511766 0.384036 0.1116
C3orf19 0.457469 0.366133 0.1117
GDE1 0.448982 0.366611 0.1117
TCFL5 0.437346 0.365515 0.1118
LRRC69 0.477832 0.373443 0.112
METRN 0.556402 0.396198 0.112
FAM166B 0.413676 0.360466 0.1122
ATP5D 0.496248 0.380085 0.1123
KIF5B 0.467777 0.372027 0.1123
TUBGCP2 0.514981 0.388193 0.1123
ALS2CL 0.453024 0.366765 0.1124
LOC100289373 0.422109 0.357830 0.1125
RAB25 0.460225 0.367619 0.1125
RASD1 0.441243 0.363408 0.1126
C12orf65 0.527603 0.391384 0.1127
ARR3 0.472260 0.373926 0.1129
RNF19B 0.394174 0.349481 0.1129
TGS1 0.426179 0.363653 0.1131
WDFY4 0.430301 0.363119 0.1131
DZIP3 0.510273 0.385886 0.1132
RBP7 0.458345 0.371104 0.1132
COQ6 0.471341 0.373545 0.1133
PAIP2 0.516296 0.386508 0.1133
ANKRD36BP2 0.454199 0.368313 0.1135
HRASLS 0.555833 0.398616 0.1135
FBXO33 0.474704 0.374285 0.1136
GPR124 0.446954 0.369047 0.1136
GTF2H5 0.470059 0.371203 0.1137
ARHGEF10 0.446612 0.367444 0.1138
ITGA4 0.497666 0.381982 0.1138
CD40LG 0.491289 0.379402 0.1139
EPHX2 0.468518 0.370426 0.1139
SOCS2 0.459304 0.368817 0.1139
ZDHHC4 0.515646 0.388462 0.1139
MRAS 0.456909 0.367973 0.114
SNORD80 0.451587 0.367694 0.114
C15orf39 0.516145 0.388544 0.1143
DYNC1I1 0.480596 0.376458 0.1145
TRIM11 0.477047 0.374893 0.1145
C16orf72 0.449242 0.369056 0.1146
RELT 0.413001 0.352118 0.1146
CARKD 0.457308 0.369179 0.1148
HPS1 0.431331 0.358355 0.1148
RECQL 0.481419 0.376329 0.1148
FAM113B 0.446457 0.364218 0.1149
RABL5 0.474502 0.374391 0.1149
TIAL1 0.474924 0.378175 0.1149
BSG 0.446291 0.368566 0.115
MBOAT7 0.450683 0.366138 0.115
MIR103-2 0.468090 0.370758 0.1151
RSPRY1 0.454817 0.369326 0.1152
PDHB 0.492733 0.381215 0.1154
PRSS21 0.454727 0.370080 0.1154
ANKS1A 0.522305 0.390343 0.1156
ASB16 0.419923 0.358820 0.1156
ATL3 0.450626 0.367735 0.1156
DLC1 0.452367 0.370271 0.1156
LOC388387 0.469349 0.372196 0.1156
NUDT7 0.482214 0.378401 0.1156
C21orf33 0.476073 0.375296 0.1157
DDTL 0.513326 0.387646 0.1157
KLF6 0.459452 0.371134 0.1157
HMG20B 0.442425 0.364934 0.1161
SUV39H2 0.487952 0.379054 0.1161
CCDC45 0.484373 0.379079 0.1164
AGK 0.399479 0.353789 0.1165
GNL2 0.473605 0.375949 0.1165
MYADM 0.486385 0.379045 0.1165
PPP1R3B 0.428491 0.357765 0.1165
NFE2L3 0.432177 0.365448 0.1166
HIF1AN 0.445517 0.364978 0.1167
LOC729176 0.406570 0.353929 0.1167
MCM7 0.412498 0.354573 0.1167
ZNF350 0.407721 0.355742 0.1167
ACBD7 0.512988 0.387538 0.1168
BAALC 0.463135 0.374835 0.1168
MCOLN2 0.471001 0.374472 0.1168
HIP1R 0.408319 0.350926 0.117
NQO2 0.466215 0.373870 0.117
LOC284023 0.615005 0.416475 0.1171
NAGA 0.436337 0.369076 0.1172
TOE1 0.427883 0.359094 0.1172
TWSG1 0.475599 0.376946 0.1172
ACTR5 0.387010 0.346381 0.1173
BEX5 0.423421 0.361689 0.1174
HADHB 0.534937 0.394111 0.1174
L3MBTL3 0.518863 0.393584 0.1174
MYL6B 0.497135 0.384456 0.1174
IFIT5 0.393253 0.348246 0.1175
IRAK1BP1 0.456796 0.374717 0.1175
KCNG1 0.435603 0.364587 0.1176
ZNF257 0.433358 0.360435 0.1177
C13orf16 0.550108 0.398851 0.1178
HIST2H2BE 0.448782 0.368701 0.1178
KLHL5 0.458204 0.372366 0.1178
AKR1C1 0.460609 0.375188 0.1179
HIPK3 0.415044 0.359113 0.118
VSIG10 0.508690 0.388411 0.118
N4BP2L2 0.468592 0.375016 0.1181
PFDN2 0.402185 0.353629 0.1181
PRDM11 0.461641 0.374428 0.1181
TG 0.481258 0.378808 0.1181
TRIM16L 0.350104 0.331397 0.1181
NLRP4 0.494914 0.383904 0.1182
C19orf48 0.356309 0.336244 0.1183
C22orf9 0.491279 0.381696 0.1183
IFIT3 0.392335 0.350069 0.1183
NUP210L 0.396503 0.351617 0.1183
GYG1 0.495062 0.385239 0.1184
ACTR1A 0.459752 0.374724 0.1185
FAM58A 0.453483 0.370078 0.1185
PGAM2 0.527870 0.393477 0.1185
RPS4X 0.408049 0.356472 0.1185
C21orf29 0.508349 0.388584 0.1186
IGF2R 0.514555 0.389246 0.1187
LRRC8B 0.498230 0.384106 0.1187
STXBP2 0.452108 0.370009 0.1187
RNASEK 0.487996 0.381396 0.1188
SH2B3 0.366455 0.340418 0.1188
NEK3 0.419997 0.360742 0.1189
PSMC4 0.396996 0.352338 0.1189
REEP2 0.472619 0.377036 0.1189
TMEM44 0.458538 0.373025 0.1189
GABRD 0.408477 0.358452 0.1192
ZNF184 0.321011 0.319013 0.1192
TUBA8 0.495025 0.383335 0.1194
IL1RAP 0.483349 0.379376 0.1195
PLAC2 0.474731 0.379499 0.1195
SNX32 0.480628 0.379012 0.1195
ZNF263 0.429218 0.365973 0.1195
FAM114A2 0.437413 0.365319 0.1196
HMGN1 0.525251 0.393010 0.1196
NPM3 0.418999 0.358750 0.1196
SNORD23 0.480924 0.383662 0.1196
LEF1 0.442050 0.366368 0.1197
PTPN13 0.501085 0.387807 0.1198
SERHL2 0.536201 0.396743 0.1198
WBP2NL 0.492377 0.383467 0.1198
LOC440104 0.394252 0.350537 0.1199
SHCBP1 0.451585 0.369895 0.1199
DHX34 0.390762 0.348129 0.12
TMEM117 0.494268 0.386688 0.1201
UBE2MP1 0.513464 0.390174 0.1201
LMOD1 0.439429 0.365968 0.1202
PSPC1 0.454477 0.369493 0.1202
BCL2 0.444063 0.370200 0.1203
IGFBP6 0.449780 0.376500 0.1203
PLEKHG2 0.472904 0.377353 0.1204
KATNB1 0.455356 0.373626 0.1205
KIAA0528 0.460864 0.373113 0.1205
SLC8A3 0.410352 0.357678 0.1205
TCP11L1 0.412040 0.353570 0.1206
C14orf183 0.454199 0.370961 0.1207
IL17RC 0.530251 0.394999 0.1207
SLC25A19 0.424725 0.363955 0.1207
TM9SF1 0.485076 0.383570 0.1207
OLAH 0.473098 0.376880 0.1208
KCNA3 0.428218 0.365739 0.1209
LOC146880 0.464774 0.375599 0.1209
FAM21B 0.454336 0.371072 0.121
NCR1 0.450668 0.371761 0.121
RNF19A 0.453160 0.370454 0.121
SPI1 0.457008 0.374890 0.1211
PTPRB 0.480906 0.382970 0.1212
PKIG 0.448132 0.370333 0.1213
GLT8D1 0.507209 0.388477 0.1214
PCDH1 0.413048 0.364044 0.1214
PHF1 0.505997 0.388330 0.1214
DPYSL4 0.491024 0.385910 0.1217
LRRC16B 0.471229 0.379866 0.1218
PPPDE1 0.469412 0.377828 0.1219
C3orf25 0.471286 0.378439 0.122
ZNF684 0.472672 0.377534 0.1221
KRT72 0.440281 0.367469 0.1222
SLC9A6 0.449344 0.372304 0.1222
SMC4 0.416409 0.360172 0.1222
PROC 0.485534 0.384375 0.1223
C2CD2L 0.494566 0.386742 0.1225
KAT2A 0.428752 0.362636 0.1225
LINGO4 0.430502 0.363159 0.1225
PDE1B 0.503918 0.388429 0.1225
BACH2 0.460271 0.374373 0.1226
BTN1A1 0.389901 0.349478 0.1226
C8orf38 0.479843 0.382070 0.1226
DAPP1 0.448142 0.371922 0.1226
RPL23A 0.471742 0.377324 0.1226
CPSF1 0.487076 0.385702 0.1228
CROT 0.465165 0.379084 0.1228
KIAA1467 0.506634 0.391741 0.1228
SHARPIN 0.498719 0.387964 0.1229
SNX11 0.471003 0.378774 0.123
TLR7 0.502389 0.389135 0.123
FITM1 0.406105 0.358327 0.1232
SYCE1L 0.474227 0.383000 0.1232
ZNF783 0.369625 0.336366 0.1232
MYO16 0.377885 0.345947 0.1233
RFC1 0.479486 0.383945 0.1233
C14orf148 0.415613 0.360535 0.1234
DUS3L 0.369306 0.341655 0.1234
DYNC2H1 0.411678 0.358460 0.1234
TMEM187 0.438143 0.369661 0.1234
CACNB4 0.443953 0.372556 0.1235
PDGFA 0.456311 0.375096 0.1236
OSBPL11 0.451621 0.372957 0.1237
PTX4 0.481893 0.385329 0.1237
SLC29A2 0.419053 0.363340 0.1237
ARMC10 0.379537 0.348605 0.1238
GH1 0.465994 0.378510 0.1238
MAP7D2 0.428263 0.367294 0.1238
C8orf73 0.464027 0.377537 0.1239
EMID2 0.466432 0.376392 0.1239
JAKMIP3 0.472203 0.382427 0.1239
ZMYM4 0.504993 0.390589 0.124
ZNF205 0.505731 0.391793 0.124
AKR7A3 0.478456 0.388391 0.1241
MIF4GD 0.457632 0.374147 0.1241
C2orf82 0.434853 0.371070 0.1242
FAM3C 0.459747 0.378075 0.1243
ZNF282 0.447649 0.373043 0.1243
GPR125 0.385522 0.349205 0.1244
LZTR1 0.452063 0.372838 0.1244
ERF 0.503552 0.391602 0.1245
MIR93 0.475737 0.379699 0.1245
HAAO 0.454524 0.373800 0.1246
LMCD1 0.384324 0.351703 0.1248
SLC22A15 0.499338 0.388785 0.1248
METTL1 0.432923 0.368243 0.1249
HAUS4 0.462318 0.376553 0.125
GADD45GIP1 0.469982 0.382337 0.1251
